,District_1,District_2
388,sheopur/Q620105,baran/Q2329717
389,kota/Q999432,chittorgarh/Q1075011
390,kota/Q999432,mandsaur/Q1870014
391,kota/Q999432,jhalawar/Q1471417
392,bundi/Q670405,chittorgarh/Q1075011
393,baran/Q2329717,shivpuri/Q2299042
394,baran/Q2329717,guna/Q930027
395,jhalawar/Q1471417,rajgarh/Q1833306
396,jhalawar/Q1471417,ratlam/Q2299164
397,jhalawar/Q1471417,agar_malwa/Q15732396
398,shivpuri/Q2299042,guna/Q930027
399,shivpuri/Q2299042,ashoknagar/Q2246416
400,shivpuri/Q2299042,jhansi/Q1937885
401,shivpuri/Q2299042,lalitpur/Q1947336
402,shivpuri/Q2299042,datia/Q2206266
403,guna/Q930027,vidisha/Q1815253
404,guna/Q930027,bhopal/Q1797245
405,mandsaur/Q1870014,chittorgarh/Q1075011
406,rajgarh/Q1833306,shajapur/Q2449803
407,rajgarh/Q1833306,sehore/Q2299029
408,ratlam/Q2299164,agar_malwa/Q15732396
409,ratlam/Q2299164,ujjain/Q892641
410,ratlam/Q2299164,jhabua/Q2085336
411,ratlam/Q2299164,banswara/Q806969
412,ratlam/Q2299164,dhar/Q2299069
413,agar_malwa/Q15732396,shajapur/Q2449803
414,chittorgarh/Q1075011,neemuch/Q2341713
415,neemuch/Q2341713,pratapgarh/Q1585433
416,pratapgarh/Q1585433,dungarpur/Q1265687
417,banswara/Q806969,dahod/Q186518
418,banswara/Q806969,mahisagar/Q5706885
419,dungarpur/Q1265687,mahisagar/Q5706885
420,jhabua/Q2085336,dahod/Q186518
421,jhabua/Q2085336,alirajpur/Q2667586
422,patan/Q1815269,surendranagar/Q237535
423,patan/Q1815269,mehsana/Q2019694
424,alirajpur/Q2667586,dahod/Q186518
425,alirajpur/Q2667586,barwani/Q2126754
426,alirajpur/Q2667586,nandurbar/Q1623525
427,alirajpur/Q2667586,chhota_udaipur/Q5979243
428,surat/Q1797317,narmada/Q1797230
429,surat/Q1797317,bharuch/Q854900
430,surat/Q1797317,tapi/Q670165
431,surat/Q1797317,navsari/Q1797349
432,dhule/Q1797383,nashik/Q1797269
433,dhule/Q1797383,jalgaon/Q1797291
434,dhule/Q1797383,dang/Q1135616
435,nashik/Q1797269,navsari/Q1797349
436,nashik/Q1797269,valsad/Q1946743
437,nashik/Q1797269,konkan_division/Q6268840
438,nashik/Q1797269,ahmednagar/Q401744
439,nashik/Q1797269,palghar/Q18003119
440,nashik/Q1797269,aurangabad/Q592942
441,nashik/Q1797269,thane/Q943099
442,dadra_and_nagar_haveli/Q46107,palghar/Q18003119
443,valsad/Q1946743,konkan_division/Q6268840
444,valsad/Q1946743,daman/Q1158197
445,konkan_division/Q6268840,kolhapur/Q1797312
446,konkan_division/Q6268840,sindhudurg/Q768332
447,konkan_division/Q6268840,raigad/Q2019683
448,konkan_division/Q6268840,mumbai/Q2595374
449,konkan_division/Q6268840,belagavi/Q815464
450,konkan_division/Q6268840,pune/Q1797336
451,konkan_division/Q6268840,north_goa/Q108234
452,konkan_division/Q6268840,satara/Q1135612
453,konkan_division/Q6268840,ratnagiri/Q1771768
454,konkan_division/Q6268840,sangli/Q1425060
455,palghar/Q18003119,thane/Q943099
456,rajkot/Q1815245,porbandar/Q1772815
457,rajkot/Q1815245,amreli/Q257946
458,rajkot/Q1815245,junagadh/Q1797344
459,rajkot/Q1815245,botad/Q14505072
460,rajkot/Q1815245,morbi/Q5979727
461,rajkot/Q1815245,jamnagar/Q2982118
462,meerut/Q1764627,hapur/Q5653340
463,jyotiba_phule_nagar/Q1891677,sambhal/Q3000436
464,hapur/Q5653340,bulandshahr/Q1752328
465,aligarh/Q766918,sambhal/Q3000436
466,aligarh/Q766918,kasganj/Q890800
467,bulandshahr/Q1752328,sambhal/Q3000436
468,sambhal/Q3000436,budaun/Q1815262
469,hathras/Q1814892,kasganj/Q890800
470,budaun/Q1815262,kasganj/Q890800
471,kasganj/Q890800,etah/Q1773429
472,etah/Q1773429,mainpuri/Q1816657
473,shahjahanpur/Q1812557,kheri/Q1755447
474,firozabad/Q1946950,etawah/Q1815288
475,etawah/Q1815288,auraiya/Q1812533
476,etawah/Q1815288,jalaun/Q2089115
477,bhind/Q2341700,jhansi/Q1937885
478,farrukhabad/Q1897251,mainpuri/Q1816657
479,mainpuri/Q1816657,kannauj/Q627979
480,kannauj/Q627979,auraiya/Q1812533
481,kheri/Q1755447,bahraich/Q1812548
482,bahraich/Q1812548,shrawasti/Q1945458
483,bahraich/Q1812548,gonda/Q1937857
484,sitapur/Q1812539,barabanki/Q633114
485,barabanki/Q633114,rae_bareli/Q1321157
486,barabanki/Q633114,amethi/Q1071494
487,barabanki/Q633114,faizabad/Q1814132
488,gonda/Q1937857,shrawasti/Q1945458
489,gonda/Q1937857,balrampur/Q1948380
490,gonda/Q1937857,siddharthnagar/Q1815339
491,gonda/Q1937857,basti/Q715267
492,balrampur/Q1948380,shrawasti/Q1945458
493,basti/Q715267,siddharthnagar/Q1815339
494,basti/Q715267,sant_kabir_nagar/Q1945445
495,basti/Q715267,ambedkar_nagar/Q456764
496,gorakhpur/Q1144349,mau/Q1518847
497,gorakhpur/Q1144349,azamgarh/Q793553
498,gorakhpur/Q1144349,maharajganj/Q1356139
499,kushinagar/Q825673,west_champaran/Q100124
500,deoria/Q731746,mau/Q1518847
501,deoria/Q731746,ballia/Q584644
502,kanpur_dehat/Q610612,auraiya/Q1812533
503,hamirpur/Q2019757,mahoba/Q1815322
504,auraiya/Q1812533,jalaun/Q2089115
505,jalaun/Q2089115,jhansi/Q1937885
506,jhansi/Q1937885,mahoba/Q1815322
507,jhansi/Q1937885,tikamgarh/Q2449760
508,jhansi/Q1937885,chhatarpur/Q2449785
509,jhansi/Q1937885,niwari/Q63563797
510,lalitpur/Q1947336,ashoknagar/Q2246416
511,lalitpur/Q1947336,sagar/Q2085421
512,mahoba/Q1815322,banda/Q2131759
513,datia/Q2206266,gwalior/Q2085310
514,chhatarpur/Q2449785,damoh/Q2479331
515,chhatarpur/Q2449785,panna/Q2341630
516,tikamgarh/Q2449760,niwari/Q63563797
517,sagar/Q2085421,damoh/Q2479331
518,sagar/Q2085421,narsinghpur/Q2341616
519,sagar/Q2085421,raisen/Q1815223
520,faizabad/Q1814132,amethi/Q1071494
521,faizabad/Q1814132,sultanpur/Q1356154
522,amethi/Q1071494,pratapgarh/Q1473962
523,ambedkar_nagar/Q456764,azamgarh/Q793553
524,sultanpur/Q1356154,jaunpur/Q1356060
525,banda/Q2131759,satna/Q2577924
526,kaushambi/Q1946937,pratapgarh/Q1473962
527,kaushambi/Q1946937,prayagraj/Q1773426
528,pratapgarh/Q1473962,jaunpur/Q1356060
529,chitrakoot/Q2089141,prayagraj/Q1773426
530,chitrakoot/Q2089141,rewa/Q526862
531,prayagraj/Q1773426,jaunpur/Q1356060
532,prayagraj/Q1773426,mirzapur/Q1143894
533,prayagraj/Q1773426,sant_ravidas_nagar/Q127533
534,jaunpur/Q1356060,varanasi/Q1321140
535,jaunpur/Q1356060,ghazipur/Q1287993
536,mirzapur/Q1143894,varanasi/Q1321140
537,mirzapur/Q1143894,sonbhadra/Q607798
538,mirzapur/Q1143894,singrauli/Q2668638
539,mirzapur/Q1143894,chandauli/Q2733369
540,sant_ravidas_nagar/Q127533,varanasi/Q1321140
541,rewa/Q526862,singrauli/Q2668638
542,rewa/Q526862,sidhi/Q2449793
543,panna/Q2341630,damoh/Q2479331
544,panna/Q2341630,katni/Q746441
545,satna/Q2577924,umaria/Q620297
546,satna/Q2577924,shahdol/Q2085464
547,azamgarh/Q793553,mau/Q1518847
548,ghazipur/Q1287993,mau/Q1518847
549,ghazipur/Q1287993,buxar/Q49161
550,ghazipur/Q1287993,kaimur/Q77367
551,mau/Q1518847,ballia/Q584644
552,ballia/Q584644,buxar/Q49161
553,ballia/Q584644,bhojpur/Q49153
554,siwan/Q100131,saran/Q100146
555,saran/Q100146,vaishali/Q100130
556,bhojpur/Q49153,arwal/Q42917
557,bhojpur/Q49153,rohtas/Q100085
558,buxar/Q49161,kaimur/Q77367
559,chandauli/Q2733369,varanasi/Q1321140
560,sonbhadra/Q607798,garhwa/Q2302076
561,sonbhadra/Q607798,balrampur/Q16056268
562,singrauli/Q2668638,surajpur/Q16938031
563,singrauli/Q2668638,koriya/Q2295896
564,rohtas/Q100085,arwal/Q42917
565,rohtas/Q100085,palamu/Q1797254
566,rohtas/Q100085,aurangabad/Q43086
567,garhwa/Q2302076,palamu/Q1797254
568,garhwa/Q2302076,latehar/Q2244762
569,balrampur/Q16056268,gumla/Q2295865
570,balrampur/Q16056268,jashpur/Q2577551
571,balrampur/Q16056268,surguja/Q1805075
572,munger/Q77452,begusarai/Q49157
573,munger/Q77452,lakhisarai/Q77505
574,munger/Q77452,jamui/Q49168
575,godda/Q638980,dumka/Q2577657
576,banka/Q43097,deoghar/Q2030017
577,begusarai/Q49157,lakhisarai/Q77505
578,lakhisarai/Q77505,sheikhpura/Q100093
579,lakhisarai/Q77505,nalanda/Q77633
580,jamui/Q49168,sheikhpura/Q100093
581,jamui/Q49168,nawada/Q100067
582,jamui/Q49168,giridih/Q2302065
583,deoghar/Q2030017,dumka/Q2577657
584,deoghar/Q2030017,jamtara/Q2980986
585,giridih/Q2302065,nawada/Q100067
586,giridih/Q2302065,koderma/Q2085480
587,giridih/Q2302065,dhanbad/Q2240791
588,giridih/Q2302065,bokaro/Q2295925
589,giridih/Q2302065,hazaribagh/Q1945416
590,dumka/Q2577657,jamtara/Q2980986
591,jamtara/Q2980986,birbhum/Q2088440
592,jamtara/Q2980986,paschim_bardhaman/Q29215602
593,vaishali/Q100130,patna/Q100077
594,patna/Q100077,arwal/Q42917
595,patna/Q100077,jehanabad/Q49176
596,arwal/Q42917,aurangabad/Q43086
597,arwal/Q42917,gaya/Q49173
598,jehanabad/Q49176,nalanda/Q77633
599,nalanda/Q77633,sheikhpura/Q100093
600,aurangabad/Q43086,gaya/Q49173
601,palamu/Q1797254,gaya/Q49173
602,palamu/Q1797254,chatra/Q1979499
603,gaya/Q49173,nawada/Q100067
604,nawada/Q100067,sheikhpura/Q100093
605,chatra/Q1979499,latehar/Q2244762
606,chatra/Q1979499,ranchi/Q1947380
607,hazaribagh/Q1945416,koderma/Q2085480
608,hazaribagh/Q1945416,ramgarh/Q2663612
609,birbhum/Q2088440,purba_bardhaman/Q808023
610,purba_bardhaman/Q808023,bankura/Q2088458
611,purba_bardhaman/Q808023,hoogli/Q548518
612,paschim_bardhaman/Q29215602,dhanbad/Q2240791
613,paschim_bardhaman/Q29215602,purulia/Q307474
614,nadia/Q1143880,hoogli/Q548518
615,nadia/Q1143880,north_24_parganas/Q338425
616,north_24_parganas/Q338425,south_24_parganas/Q2308319
617,north_24_parganas/Q338425,kolkata/Q1348
618,north_24_parganas/Q338425,howrah/Q1478937
619,bankura/Q2088458,jhargram/Q29168456
620,bankura/Q2088458,paschim_medinipur/Q1855537
621,paschim_medinipur/Q1855537,balasore/Q2022279
622,paschim_medinipur/Q1855537,purba_medinipur/Q1431920
623,howrah/Q1478937,purba_medinipur/Q1431920
624,jhargram/Q29168456,balasore/Q2022279
625,jhargram/Q29168456,east_singhbhum/Q2452921
626,jhargram/Q29168456,mayurbhanj/Q1914546
627,ranchi/Q1947380,gumla/Q2295865
628,ranchi/Q1947380,lohardaga/Q1948301
629,ranchi/Q1947380,khunti/Q367344
630,ranchi/Q1947380,saraikela-kharsawan/Q2362658
631,bokaro/Q2295925,dhanbad/Q2240791
632,dhanbad/Q2240791,purulia/Q307474
633,ramgarh/Q2663612,purulia/Q307474
634,purba_medinipur/Q1431920,south_24_parganas/Q2308319
635,latehar/Q2244762,gumla/Q2295865
636,gumla/Q2295865,jashpur/Q2577551
637,gumla/Q2295865,simdega/Q2597889
638,jashpur/Q2577551,raigarh/Q2286310
639,jashpur/Q2577551,sundargarh/Q2296047
640,khunti/Q367344,west_singhbhum/Q1950527
641,simdega/Q2597889,sundargarh/Q2296047
642,sundargarh/Q2296047,angul/Q1772807
643,sundargarh/Q2296047,sambalpur/Q1267306
644,sundargarh/Q2296047,deogarh/Q2269639
645,sundargarh/Q2296047,kendujhar/Q2085428
646,sundargarh/Q2296047,jharsuguda/Q569181
647,kendujhar/Q2085428,balasore/Q2022279
648,kendujhar/Q2085428,jajpur/Q2087771
649,kendujhar/Q2085428,dhenkanal/Q1948389
650,kendujhar/Q2085428,bhadrak/Q685638
651,mayurbhanj/Q1914546,saraikela-kharsawan/Q2362658
652,surguja/Q1805075,surajpur/Q16938031
653,surguja/Q1805075,korba/Q2299121
654,raigarh/Q2286310,jharsuguda/Q569181
655,raigarh/Q2286310,bargarh/Q808140
656,raigarh/Q2286310,baloda_bazar/Q15663455
657,raigarh/Q2286310,mahasamund/Q2450240
658,raigarh/Q2286310,janjgir champa/Q2575633
659,korba/Q2299121,surajpur/Q16938031
660,korba/Q2299121,bilaspur/Q100157
661,surajpur/Q16938031,koriya/Q2295896
662,bilaspur/Q100157,mungeli/Q13476249
663,bilaspur/Q100157,anuppur/Q2299093
664,koriya/Q2295896,anuppur/Q2299093
665,baloda_bazar/Q15663455,raipur/Q2295914
666,baloda_bazar/Q15663455,bametara/Q16254159
667,mungeli/Q13476249,kabeerdham/Q2450255
668,mungeli/Q13476249,dindori/Q2398551
669,anuppur/Q2299093,umaria/Q620297
670,sidhi/Q2449793,shahdol/Q2085464
671,shahdol/Q2085464,umaria/Q620297
672,mahasamund/Q2450240,nuapada/Q1810550
673,mahasamund/Q2450240,gariaband/Q16961365
674,bargarh/Q808140,nuapada/Q1810550
675,bargarh/Q808140,balangir/Q804642
676,bargarh/Q808140,subarnapur/Q1473957
677,jharsuguda/Q569181,sambalpur/Q1267306
678,raipur/Q2295914,dhamtari/Q100190
679,raipur/Q2295914,durg/Q100182
680,nuapada/Q1810550,kalahandi/Q1876588
681,gariaband/Q16961365,dhamtari/Q100190
682,gariaband/Q16961365,nabarangapur/Q2396798
683,durg/Q100182,dhamtari/Q100190
684,durg/Q100182,balod/Q16056266
685,durg/Q100182,rajnandgaon/Q2341800
686,dhamtari/Q100190,kondagaon/Q12420995
687,dhamtari/Q100190,uttar_bastar_kanker/Q2310530
688,rajnandgaon/Q2341800,kabeerdham/Q2450255
689,rajnandgaon/Q2341800,gadchiroli/Q1804847
690,rajnandgaon/Q2341800,gondia/Q1917227
691,rajnandgaon/Q2341800,balaghat/Q641904
692,balod/Q16056266,uttar_bastar_kanker/Q2310530
693,balaghat/Q641904,bhandara/Q1813857
694,balaghat/Q641904,seoni/Q2221184
695,balaghat/Q641904,mandla/Q2341670
696,balaghat/Q641904,nagpur/Q1797367
697,dindori/Q2398551,umaria/Q620297
698,dindori/Q2398551,jabalpur/Q632093
699,mandla/Q2341670,jabalpur/Q632093
700,uttar_bastar_kanker/Q2310530,kondagaon/Q12420995
701,uttar_bastar_kanker/Q2310530,narayanpur/Q2322000
702,gadchiroli/Q1804847,bhandara/Q1813857
703,gadchiroli/Q1804847,jayashankar_bhupalapally/Q28169775
704,gadchiroli/Q1804847,mancherial_district/Q28169747
705,gadchiroli/Q1804847,komram_bheem/Q28170184
706,gadchiroli/Q1804847,bijapur/Q100164
707,gadchiroli/Q1804847,chandrapur/Q1797274
708,bastar/Q100152,koraput/Q1947300
709,bastar/Q100152,malkangiri/Q5122619
710,bastar/Q100152,sukma/Q16933590
711,bastar/Q100152,dakshin_bastar_dantewada/Q100211
712,nabarangapur/Q2396798,koraput/Q1947300
713,koraput/Q1947300,kalahandi/Q1876588
714,koraput/Q1947300,vizianagaram/Q15392
715,koraput/Q1947300,visakhapatnam/Q15394
716,koraput/Q1947300,rayagada/Q2577997
717,malkangiri/Q5122619,east_godavari/Q15338
718,sukma/Q16933590,east_godavari/Q15338
719,sukma/Q16933590,bhadradri_kothagudem/Q28169767
720,kondagaon/Q12420995,dakshin_bastar_dantewada/Q100211
721,bijapur/Q100164,jayashankar_bhupalapally/Q28169775
722,bijapur/Q100164,mulugu/Q61746006
723,narayanpur/Q2322000,dakshin_bastar_dantewada/Q100211
724,bhopal/Q1797245,vidisha/Q1815253
725,vidisha/Q1815253,ashoknagar/Q2246416
726,damoh/Q2479331,jabalpur/Q632093
727,katni/Q746441,umaria/Q620297
728,umaria/Q620297,jabalpur/Q632093
729,sehore/Q2299029,harda/Q2173003
730,sehore/Q2299029,hoshangabad/Q620801
731,sehore/Q2299029,dewas/Q2025998
732,raisen/Q1815223,hoshangabad/Q620801
733,shajapur/Q2449803,ujjain/Q892641
734,dhar/Q2299069,khargone/Q2273900
735,dhar/Q2299069,indore/Q742938
736,ujjain/Q892641,dewas/Q2025998
737,dewas/Q2025998,khargone/Q2273900
738,dewas/Q2025998,khandwa/Q2085436
739,indore/Q742938,khargone/Q2273900
740,barwani/Q2126754,khargone/Q2273900
741,khargone/Q2273900,burhanpur/Q2125592
742,jalgaon/Q1797291,burhanpur/Q2125592
743,jalgaon/Q1797291,jalna/Q1804863
744,jalgaon/Q1797291,buldhana/Q47929
745,khandwa/Q2085436,harda/Q2173003
746,khandwa/Q2085436,betul/Q1815279
747,khandwa/Q2085436,amravati/Q1771774
748,harda/Q2173003,hoshangabad/Q620801
749,betul/Q1815279,hoshangabad/Q620801
750,betul/Q1815279,chhindwara/Q1986096
751,amravati/Q1771774,wardha/Q980608
752,amravati/Q1771774,akola/Q520510
753,amravati/Q1771774,washim/Q1804858
754,amravati/Q1771774,yavatmal/Q1804852
755,burhanpur/Q2125592,buldhana/Q47929
756,hoshangabad/Q620801,narsinghpur/Q2341616
757,chhindwara/Q1986096,narsinghpur/Q2341616
758,jabalpur/Q632093,narsinghpur/Q2341616
759,seoni/Q2221184,narsinghpur/Q2341616
760,nagpur/Q1797367,wardha/Q980608
761,bhandara/Q1813857,gondia/Q1917227
762,balangir/Q804642,kalahandi/Q1876588
763,balangir/Q804642,kandhamal/Q2085500
764,balangir/Q804642,boudh/Q2363639
765,sambalpur/Q1267306,angul/Q1772807
766,kalahandi/Q1876588,kandhamal/Q2085500
767,kandhamal/Q2085500,gajapati/Q1947292
768,kandhamal/Q2085500,ganjam/Q776213
769,kandhamal/Q2085500,nayagarh/Q2367388
770,nayagarh/Q2367388,angul/Q1772807
771,nayagarh/Q2367388,cuttack/Q2022256
772,nayagarh/Q2367388,khordha/Q662818
773,khordha/Q662818,cuttack/Q2022256
774,khordha/Q662818,puri/Q1817158
775,cuttack/Q2022256,angul/Q1772807
776,cuttack/Q2022256,kendrapara/Q2299172
777,cuttack/Q2022256,jagatsinghpur/Q971581
778,ganjam/Q776213,gajapati/Q1947292
779,ganjam/Q776213,srikakulam/Q15395
780,puri/Q1817158,jagatsinghpur/Q971581
